"#";"Company";"Location_HQ";"Region";"State";"Country";"Continent";"Laid_Off";"Date_layoffs";"Percentage";"Company_Size_before_Layoffs";"Company_Size_after_layoffs";"Industry";"Stage";"Money_Raised_in__mil";"Year";"latitude";"longitude"
1;"Tamara Mellon";"Los Angeles";"";"California";"USA";"North America";20;"12-03-20";40;50;30;"Retail";"Series C";90;2020;34.0536909;-118.242766
2;"HopSkipDrive";"Los Angeles";"";"California";"USA";"North America";8;"13-03-20";10;80;72;"Transportation";"Unknown";45;2020;34.0536909;-118.242766
3;"Panda Squad";"San Francisco";"San Francisco Bay Area";"California";"USA";"North America";6;"13-03-20";75;8;2;"Consumer";"Seed";1;2020;37.7792588;-122.4193286
4;"Help.com";"Austin";"";"";"USA";"North America";16;"16-03-20";100;16;0;"Support";"Seed";6;2020;30.2711286;-97.7436995
5;"Inspirato";"Denver";"";"";"USA";"North America";130;"16-03-20";22;591;461;"Travel";"Series C";79;2020;39.7392364;-104.984862
6;"Flytedesk";"Boulder";"";"";"USA";"North America";4;"18-03-20";20;20;16;"Marketing";"Seed";4;2020;40.0149856;-105.270545
7;"Remote Year";"Chicago";"";"";"USA";"North America";50;"19-03-20";50;100;50;"Travel";"Series B";17;2020;41.8755616;-87.6244212
8;"CTO.ai";"Vancouver";"";"";"Canada";"North America";30;"20-03-20";50;60;30;"Infrastructure";"Seed";7;2020;49.2608724;-123.113952
9;"Flywheel Sports";"New York City";"";"";"USA";"North America";784;"20-03-20";98;800;16;"Fitness";"Acquired";120;2020;40.7127281;-74.0060152
10;"Compass";"New York City";"";"";"USA";"North America";375;"23-03-20";15;2500;2125;"Real Estate";"Series G";1600;2020;40.7127281;-74.0060152
11;"Convene";"New York City";"";"";"USA";"North America";150;"23-03-20";18;833;683;"Real Estate";"Series D";280;2020;40.7127281;-74.0060152
12;"GrayMeta";"Los Angeles";"";"California";"USA";"North America";20;"23-03-20";40;50;30;"Data";"Unknown";7;2020;34.0536909;-118.242766
13;"Ladder Life";"Palo Alto";"San Francisco Bay Area";"California";"USA";"North America";13;"23-03-20";25;52;39;"Finance";"Series C";94;2020;37.4443293;-122.1598465
14;"Leafly";"Seattle";"";"";"USA";"North America";91;"23-03-20";50;182;91;"Retail";"Acquired";2;2020;47.6038321;-122.330062
